Word,Term,Affix,PartOfSpeech,Definition,Root Word
inabandona,abandona,IN Infix,Transitive Verb,"vt.  abandon, forsake. Reversal: abandon, leave behind. Ma abandona todu i pineksai gå'ga' duråntin i pakyu. They left behind all the animals during the storm. I dos mås åmku' na che'lu ma abandona i intires yan palitun‑ñiha gi pidåsun tånu' ni manå'i i mås påtgun na che'lun‑ñiha. The two oldest siblings put aside their interest and conflict about a piece of land that was given to their youngest sibling. Ma abandona i batku anai esta mañoñokñuk. They abandoned the ship when it was sinking.",abandona
inabånsa,abånsa,IN Infix,Transitive Verb,"vt.  go forward with, move on with, make progress with, advance, improve; pay in advance. Reversal: advance. Abånsa i lina'lå'‑mu. Improve your life. Abånsa i un chocho'gui sa' siempri munhåyan. Go forward with what you are doing because it will finish somehow. Ha abånsa i malago'‑ña si Maria. Maria went forward with what she wanted. Ma abånsa singkuenta pesus fine'nena, åntis di u empas. They advanced fifty dollars first, before the payment was complete. Variant: atbånsa, abånsi.",abånsa
inabånsi,abånsi,IN Infix,Transitive Verb,"vt.  advance (payment), pay in advance. Reversal: advance (payment). Hu abånsi i apas atkilun guma' put dos mesis. I advanced the house's rental payment for two months. Manggågao si Jose na u ma'abånsi i suetdon‑ña. Jose asked for an advance on his salary. Måolik yanggin un abånsi i apas i debi‑mu sa' menus i intires. It is wise to make advance payments on your loan because the interest would be less..",abånsi
inabåtga,abåtga,IN Infix,Transitive Verb,"vt.  rely on, depend on, trust, have faith in. Reversal: rely on, depend on. Hu abåtga yu' na ti u uchan. I trusted that it would not rain. Ha abåtga gui' si Roman as Kuri ni kinalamtin ginagao salåppi' gi lehislatura. Roman relied on Kuri regarding the process of seeking money from the legislature. Mungnga ma'abåtga håo nu i fino'‑ña, sa' dakun ennåo na tåotao. Don't trust his words, because that guy is a liar. Variant: båtga.",abåtga
inabesti,abesti,IN Infix,Transitive Verb,"vt.  decorate. Reversal: decorate. Fuyut i butsiyun aising ya un abesti i kek. Squeeze the icing bag and decorate the cake. Abesti i palapåla ni hagun niyuk, sa' para guaha fandånggu. Decorate the hut with coconut leaves, because there's going to be a wedding. Manma'abesti i kalesa siha para i likao. The floats were decorated for the procession. Variant: besti.",abesti
inabiba,abiba,IN Infix,Transitive Verb,"vt.  encourage; give praise to; honor, show pride in. Reversal: encourage, praise (someone), honor. Abiba i patgun ya u gånna i kumpitensia. Encourage the child so he can win the competition. Abiba i malångu ya u maguf sinienten‑ña. Encourage the sick person so he can feel better. Maila' ta abiba si San Isidro, patron lancheru. Let us give praise to San Isidro, the patron saint of farmers. Maila' ta abiba i kutturå‑ta. Let us honor our culture.",abiba
inabirigua,abirigua,IN Infix,Transitive Verb,"vt.  interrogate, question or investigate in order to find out. Reversal: question (someone), interrogate. Ma abirigua yu' put si Juan. They interrogated me about John. I pulisia ha abirigua i manhobin put i sinisedi. The police interrogated the youths about the incident. I ma'estra ha abirigua i famagu'un anai guaha malingu kosas gi kuåttu. The teacher investigated the students when something was lost in the class.",abirigua
inabisa,abisa,IN Infix,Transitive Verb,"vt.  advise, notify, inform; give alarm, give warning. Reversal: advise, notify, inform, warn. Abisa i amigu‑mu na u gef adahi gui'. Advise your friend to be cautious. Abisa i membru siha put i hunta. Notify the members of the meeting. Manma'abibisa i taotao ni maga'låhi put i pakyu ni mamamaila'. The governor gave warning of an approaching typhoon.",abisa
inabona,abona,IN Infix,Transitive Verb,"vt.  pay, purchase, buy; do a favor to, side with. Reversal: buy, favor (side with). Hu abona i rilos che'lu‑hu. I bought my brother's watch. I subrinå‑hu ha abona i tano'‑hu. My niece purchased my property. Hu na'ma'abona todu i kosås‑hu anai para bai hu dingu Saipan. I made them buy all my things when I was leaving Saipan. Ha abona yu' i amigu‑hu gi atgumentok‑ku. My friend sided with me in my argument.",abona
inabråsa,abråsa,IN Infix,Transitive Verb,"vt.  encompass, cover a certain area. Reversal: encompass. Ha abråsa todu i manmåolik na chå'guan i kellat guaka. The fenced-in area for cattle encompassed all the good grass. I kellat ha abråsa todu i sitiun i gima'. The fence covered all the area around the house.",abråsa
inabråsu,abråsu,IN Infix,Transitive Verb,"vt.  hug (by having arms meet together), enfold in the arms, encircle in someone's arms (Rota). Reversal: hug, encircle.",abråsu
inabribiet,abribiet,IN Infix,Transitive Verb,"vt.  abbreviate. Reversal: abbreviate. Manma'abribiet todu i na'an, ya mapput hu tungu' håyi siha. They abbreviated all the names and it is hard for me to know who they are. Abribiet ha' i na'an para u omlat gi tapbleru. Just abbreviate the name to fit in the signboard.",abribiet
inachai,åchai,IN Infix,Transitive Verb,vt.  lean (the chin) on. Reversal: lean (chin) on. Che'lu‑hu atyu i ha å'achai gui' ni kannai‑ña. That's my brother who's leaning his chin on his hand.,åchai
inachåka,achåka,IN Infix,Transitive Verb,"vt.  blame, reproach, hold responsible for, find fault with, accuse; speak of or address with irreverence; blaspheme. Reversal: blame (someone), accuse. Gof lachi para un achåka ottru tåotao put i linachi‑mu. It is very wrong to blame others for your own wrongdoing. Håfa na un achåchaka yu'? Why are you putting the blame on me? Ha achåka yu' si nanå‑hu anai ti måttu i che'lu‑hu gi ora. My mother held me responsible when my sister did not come home on time. Ma achåka i taotao anai malingu i ramenta. They accused the man when the tool was missing.",achåka
inachetgi,achetgi,IN Infix,Transitive Verb,"vt.  wink at. Reversal: wink at. I lahi ha achetgi i palåo'an. The boy winked at the girl. Siña mannå'i håo señas yanggin manachetgi håo. You can give signals by winking. Gigun ha achetgi yu' si Tåta, esta hu tungu' håfa kumeke'ilek‑ña. When my father gives me a wink, I already know what he is trying to say.",achetgi
inadåba,adåba,IN Infix,Transitive Verb,vt.  put a padlock on (something). Reversal: put padlock on. Kåo un adåba i kellat? Did you put a padlock on the gate? Ma adådaba i kahun limosna. The donation box has a padlock.,adåba
inadahi,adahi,IN Infix,Transitive Verb,"vt.  guard, protect, take good care of, pay attention to. Reversal: protect, keep watch over. Adahi i familia sa' duru mannå'yi i sagu. Protect the family, because the flu is going around. Adahi fan i na'‑ta gi lamasa. Please watch our food on the table. Hu adadahi håfa para bai hu kånnu'. I'm careful with what I eat.",adahi
inadånggua',adånggua',IN Infix,Transitive Verb,vt.  jump over (Rota). Reversal: jump over. Hu adånggua' i fachi'. I jumped over the mud puddle.,adånggua'
inadåpta,adåpta,IN Infix,Transitive Verb,vt.  adopt. Reversal: adopt. Si Nanå‑hu ha adåpta i nenin i che'lu‑ña. My mother adopted her sister's baby. Ma adåpta i patgun anai mumalångu i nana. They adopted the child when the mother became sick. Manchaddik manmanadåpta i famagu'un kustumbrin ottru. Children are quick to adopt others' behaviors.,adåpta
inadda',adda',IN Infix,Transitive Verb,"vt.  mimic, copy, imitate closely. Reversal: imitate. Ha adda' i katin katu. He mimicked the cat's cry. Ha a'adda' si Juanito si Tan Rosa ni ke'yåo‑ña. Juanito copied Tan Rosa's limp. Måolik manadda' si Frank nu i kakanta. Frank is good at imitating the singer.",adda'
inaddak,åddak,IN Infix,Transitive Verb,"vt.  knock, rap. Reversal: strike, rap, knock. Ha åddak i ilu‑hu ni baston‑ña. He rapped my head with his cane. Ha åddak si Ben i kampåna ni liluk. Ben struck the bell with a metal object. Nisisåriu na un åddak duru i ruedan kareta para u kallu i tutniyu. You need to knock hard on the wheel to loosen the screws.",åddak
inadibina,adibina,IN Infix,Transitive Verb,"vt.  predict, foretell; wonder, figure out, search for an answer to, try to decide. Reversal: predict, wonder. Hu adibibina na para u måolik i nuebu na såkkan. I am predicting that the new year will be good. Hu adibibina na para u anåkku' i ha'ani‑hu gi tanu'. I am predicting that I will have a long life. Hu adibibina kåo para bai hu hånao para Guam. I am wondering if I should go to Guam. Hu adibina kåo måolik pat båba i para bai hu cho'gui. I am trying to decide whether what I am going to do is good or bad.",adibina
inadilånta,adilånta,IN Infix,Transitive Verb,"vt.  improve, progress, advance. Reversal: improve (something). Adilånta fan i lina'lå'‑mu, che'lu‑hu. Please improve your life, my brother. Ha gof adilånta gui' si Maria gi iskuela. Maria really advanced herself at school. Manma'adilålanta i chalan siha gi sengsung. They are improving the roads in the village.",adilånta
inadingani,adingani,IN Infix,Transitive Verb,"vt.  speak to, talk to, advise. Reversal: talk to, advise. Ti manma'adingangani ennåo siha na famagu'un put rispetu. Those children are not given advice about respect. Put fabot adingani i lahi‑mu sa' ti måolik bidåda‑ña. Please talk to your son, because he is not doing the right thing. Manma'adingani ham as Tåta anai guaha lachi bidan‑måmi. Father talked to us when we did something wrong.",adingan
inadinganiyi,adinganiyi,IN Infix,Transitive Verb,"vt.  intercede, speak in favor of (someone), talk on behalf of (someone) to (someone). Reversal: intercede for. Si Maria ha adinganiyi hit nu i lahi‑ña. Mary intercedes to her son for us. Hu adinganiyi si Jose as Nåna, sa' ma'å'ñao nu i bidå‑ña. I talked to Mother for Jose, because he is afraid of what he did. Hu adinganiyi i patgun, sa' mampus luhan. I interceded for the boy, because he was too frightened.",adingan
inadonsi,adonsi,IN Infix,Transitive Verb,"vt.  stack up, pile on top of each other. Reversal: stack up, pile up (something). Utut i hayu siha yan adonsi parehu. Cut the woods and stack them up evenly. Adonsi i hagun niyuk siha gi papa' nuhung. Pile the coconut leaves under the shade. Variant: adotsi, adåosi.",adonsi
inadopta,adopta,IN Infix,Transitive Verb,"vt.  adopt, select; adapt, accommodate. Reversal: adopt.",adopta
inadora,adora,IN Infix,Transitive Verb,"vt.  adore, love and admire greatly, idolize. Reversal: adore. Hu adora håo, kiridå‑hu! I adore you, my love! Hagas hu adora esti na chininå‑hu. I have adored this dress of mine for a long time. Guaha na tåotao ma adodora i pilan. There are people who adore the moon.",adora
inadotna,adotna,IN Infix,Transitive Verb,"vt.  adorn, decorate, beautify. Reversal: adorn, decorate. In adotna i bilen gi lamasa. We adorned the manger on the table. Ma adotna i trongkun Krismas. They decorated the Christmas tree. Maila' ya ta adotna i uriyan i tano'‑ta. Let us beautify our island.",adotna
inadotta,adotta,IN Infix,Transitive Verb,"vt.  adopt, select. Reversal: adopt. Variant: adopta.",adotta
inadu',adu',IN Infix,Transitive Verb,"vt.  peep at, peek at, observe furtively. Reversal: peek at. Hu adu' i che'lu‑hu gi tattin i kuttina. I peeked at my sister from behind the curtain. Ma tågu' yu' para bai hu adu' i famagu'un håfa bidan‑ñiñiha. They asked me to watch the children to see what they are doing. Hu adu' i patgun gi ka'ka' i petta. I peeped at the child through the crack of the door.",adu'
inafa'fa'i,afa'fa'i,IN Infix,Transitive Verb,"vt.  carry under the armpit. Reversal: carry under armpit. Ha afa'fa'i i pottan munedå‑ña, dispues ti ha tungu' månggi. He carried his wallet under his armpit and later did not know where it went. Hu afa'fa'i matå‑ña i asaguå‑hu ya umessalao. I wrapped my armpit around my husband's face and he screamed. Måolik yu' manafa'fa'i kosas sa' siguru na hu go'ti. I am good at carrying something under my armpit and holding onto it.",fa'fa'
inafekta,afekta,IN Infix,Transitive Verb,vt.  affect. Reversal: affect. Maninafekta i taotao anai sessu tåya' kåndit. The people were affected when blackouts occurred frequently. Inafekta i gualu' nu i måtmun uchan. The crops were affected by the heavy rain. Ha afekta yu' sa' ti magåhit i sinangån‑ña. It affected me because she did not tell the truth.,afekta
inafgui,åfgui,IN Infix,Transitive Verb,"vt.  add lime to (betel nut mixture); soak (fruits) in lime, when making candies or when pickling; soak before cooking. Reversal: add lime to. Umagagaga' i mama'un yanggin ma'åfgui. The betel nut mixture turns red when lime is added. Måolik i akunsehu i ufisinan hinemlu' pupbliku na mungnga ma'åfgui i mama'un sa' na'kånsit i afuk gi halum påchut. The advice of the Public Health Office is good to not add lime to the betel nut mixture because it can cause mouth cancer. Ma'åfgui esta i papåya para u makunsetba. The papaya for preserves has already been soaked in lime.",åfgui
ina'fi,å'fi,IN Infix,Transitive Verb,vt.  put (something) in a sling or support band. Reversal: put in sling. Hu å'fi i kannai‑hu ni piti. I used a sling for my painful arm. Ma å'fi i kannai‑hu anai matomba yu' ya appling. They put a sling on my arm when I fell and sprained it. Gaigi i a'fem‑mu gi papa' i apuyå'‑mu ha'. Your bandage is just underneath your bellybutton.,å'fi
inafitma,afitma,IN Infix,Transitive Verb,"vt.  affirm, allege, assert. Reversal: affirm. Ha afitma i hues i sinisedi. The judge affirmed the incident. Hu afitma i dokumentu siha na mandinanchi. I affirmed that the documents were correct. I gubietnu ha afitma i che'chu' i kunggresu. The governor affirmed the work of the congress.",afitma
inaflitu,aflitu,IN Infix,Transitive Verb,vt.  fry. Reversal: fry. Hu aflitu i guihan para amotsan talu'åni. I fried fish for lunch. Mana'ayuda ma aflitu i tempura' para i giput. They are helping each other to fry the tempura for the party. Mañuñuli' yu' inaflitun kamuti para tengguång‑ta. I brought fried sweet potato for our packed snack.,aflitu
inafti,åfti,IN Infix,Transitive Verb,"vt.  put a roof on, cover with a roof, install a roof on. Reversal: put roof on. Hu åfti di nuebu i atuf gimå'‑hu sa' esta bula sumi' ya mamamaila' i tiempun uchan. I changed the roof of my house because it had leaks and the rainy season is coming. Manmangonni' ayudu i hagå‑hu sa' para u ma'åfti i gima'‑ñiha på'gu. My daughter got some helpers because they are going to put a roof on her house. Hu åfti tempuråriu i lugåt manunu sa' maipi i semnak. I put a roof temporarily on the barbeque place because the sun is hot.",åfti
inafuetsas,afuetsas,IN Infix,Transitive Verb,"vt.  force, demand, compel, require. Reversal: force, require. Ha afuetsas gui' hålum. He forced his way in. Hu afuetsas gui' para u atan yu'. I compelled her to look at me. Nå'i yu' insigidas, sino bai hu afuetsas håo. Give it to me at once or I will force you to. Variant: fuetsa.",fuetsa
Afiniki,Afuki,IN Infix,Transitive Verb,vt.  put lime on (betel nut). Reversal: put lime on (betel nut). Hu afuki i mamå'‑hu. I put lime on my betel nut chew. Hu afuki i papåya. I put lime on the papaya. Variant: åfgui.,Afuki
inafuyut,afuyut,IN Infix,Transitive Verb,"vt.  wrap up, roll up, enfold, make a ball of (by squeezing). Reversal: wrap (something), roll up. Ma'afuyut i kelaguin månnuk ni titiyas. The chicken kelaguen is wrapped in the tortilla. Hu afuyut i ampulå‑hu ni tuhåya. I wrapped my dirty clothes with the towel. Ma afuyut i alunan ni guafak. The pillow was rolled up in the mat. Afuyut ha' ennåo i ineksa'. Make that rice into balls.",afuyut
inagang,ågang,IN Infix,Transitive Verb,"vt.  call (someone), beckon, summon. Reversal: call (someone). Ma ågang si Juan para u facho'chu'. They called Juan to work. I kotti ha ågang si Juan para u fåttu. The court summoned Juan to come. Nihi ta fanmanågang para ta fanma'ayuda. Let's call people to help us. Variant: ågan.",ågang
inagångi,agångi,IN Infix,Transitive Verb,"vt.  call for, send for, invite. Reversal: call (someone) for. Agångi yu' fan as Pedro. Call Pedro for me. Na'ma'agångi i bisinu ni pulisiha. Call the police on behalf of the neighbor. Manma'agångi todu para i lisåyu. They were all called to the rosary.",ågang
inagangñaihun,agangñaihun,IN Infix,Transitive Verb,"vt.  announce for awhile, call for awhile, invite to. Reversal: announce. Ma'agangñaihun gi redio put i hunta agupa'. It was announced for awhile on the radio about the meeting tomorrow. Ma'agangñaihun na tåya' cho'chu'. It was declared that there was no work. Manma'agangñaihun para u fanboka. They were invited to eat.",ågang
inagåra,agåra,IN Infix,Transitive Verb,"vt.  covet, envy; grab up, claim another's property. Reversal: covet, claim (someone's property). Ha agåra gui' ni ramentan tatå‑ña siha anai humanåo si tatå‑ña para Amerika. He claimed all of his father's tools when his father left to America. Mampus gef ya‑ña managåra ni ti iyon‑ña. She really likes to claim things that do not belong to her. Ha agågara i iyun tåotao. He is claiming another person's property.",agåra
inagradesi,agradesi,IN Infix,Transitive Verb,"vt.  appreciate, value, cherish, accept. Reversal: appreciate, value (cherish), cherish. Ma agradesi mampus i nengkanu'. They really appreciated the food. Mampus ma agradesi i fina'na'guem‑mu. They really valued your teaching. Agradesi sa' ma nåna'i håo. Accept it because they are giving it to you.",agradesi
ina'gu,a'gu,IN Infix,Transitive Verb,"vt.  change (location), put one thing in place of another, shift, substitute, exchange. Reversal: change (something), exchange (something). A'gu fan i kustumbrem‑mu ya un mås na'maguf. Please change your attitude, so you can be more pleasant. Malagu' yu' hu a'gu i karetå‑hu sa' esta ti gof måolik. I want to change my car because it does not run well. Manma'a'gu i pine'lu gi tenda ya ti siña hu sodda' i para bai hu fåhan. They are shifting things around in the store and I cannot find what I needed to buy. Ha a'gu chalån‑ña i manglu', iståba ginin hahaya, på'gu ginin lilichan . The wind shifted direction; it was coming from the east, now it is from the south. A'gu ennåo i sapatos‑mu. Change your shoes.",a'gu
inagua',agua',IN Infix,Transitive Verb,vt.  step over. Reversal: step over. I patgun ha agua' i fachi. The child stepped over the mud. Agua' fan i pala. Can you reach out for the shovel? Variant: hagua'.,agua'
inaguaguåti,aguaguåti,IN Infix,Transitive Verb,"vt.  argue for, quarrel with, disagree with,, dare (someone), persist strongly. Reversal: argue for, quarrel with, disagree with. Ha aguaguåti para u mana'hålum gi huegu. He argued for himself to be included in the game. Aguaguåti sa' ti ha tungu' håfa bidådana. Argue for it because he does not know what he is doing. Anai ha aguaguåti nai manå'i putfin nu i kareta. When he persisted strongly was when he was finally given the car.",aguaguat
inaguånta,aguånta,IN Infix,Transitive Verb,"vt.  endure; restrain oneself, resist; aggravate. Reversal: endure, restrain self, aggravate. Ha aguånta bula siha na prublema gi lina'lå'‑ña. He endured a lot of problems in his life. Put gof baba mampus i ekonomiha, ha aguånta i para u huchum i tendån‑ña. Because the economy was so bad, he restrained himself from closing his store. Inaguånta ni masåsangannaihun gui'. He was aggravated by what was being said about him.",aguånta
iná'guatu,á'guatu,IN Infix,Transitive Verb,vt.  move over a bit. Reversal: move over. Ha na'a'guatu i siya anai para u láhihut gi neni‑ña. She moved the chair a bit to where she could be closer to her baby. Na'a'guatu dididi' i masetan floris sa' u potdong. Move the flower vase over a little because it might fall. Ha na'a'guatu si Mona i litråtun Jesus put para u annuk i litratu‑ña. Mona moved over Jesus's picture a bit so that her own picture will show. Variant: hátguatu.,guatu
inaguguiyi,aguguiyi,IN Infix,Transitive Verb,"vt.  take sides with, esp. in an attack; help (to do something so it is done right away). Reversal: go against, work together. Ma'aguguiyi i prohimu ni tres, sa' manbulåchu. The guy was beaten up by the three, because they were drunk. Maila' ya ta aguguiyi muna'gåsgas i uriyan guma'. Let us all help in cleaning around the house. Munhåyan ha' i che'chu' kumu ma aguguiyi. The work will be done if they all help out. Variant: aguiguiyi.",aguguiyi
inaguit,åguit,IN Infix,Transitive Verb,"vt.  throw, cast, fling. Reversal: throw. Ha åguit i tamma' gi kannai‑ña. He threw the marble from his hand. Åguit ennåo i talayå‑mu. Cast your fishing net. Måolik manåguit na talayeru. The net fisherman is a good thrower.",åguit
inagun,agun,IN Infix,Transitive Verb,"vt.  do again. Reversal: do again. Ha agun tumufung i salåppi'. He counted the money over again. Agun tumåla' i magågu, sa' ti manggef anglu'. Dry the clothes again, because they're not very dry. Agun ta'lu chumo'gui ennåo. Do that all over again.",agun
inahu,åhu,IN Infix,Transitive Verb,"vt.  cook young coconut meat with water, sugar, and starch. Gof ya‑hu umåhu i manha. I like to make porridge with the green coconut.",åhu
inahusta,ahusta,IN Infix,Transitive Verb,vt.  adjust. Reversal: adjust. Ahusta ennåo i fallut. Adjust the lamp. Ti ha ahuhusta gui' trabiha gi klema. She hasn't adjusted to the climate yet.,ahusta
inaidentifika,aidentifika,IN Infix,Transitive Verb,vt.  identify. Reversal: identify. Esta ma'aidentifika i matai. The dead person has been identified. Kåo siña un aidentifika ennåo na tinanum? Can you identify that plant?,aidentifika
inairi,airi,IN Infix,Transitive Verb,"vt.  air out, ventilate. Ma airi i kuåttu, sa' gai paguan. They aired out the room, because it has an odor.",airi
inakatchayi,akatchayi,IN Infix,Transitive Verb,"vt.  tease, harass; deceive, cheat, rob. Reversal: tease, harass, rob. Si Pedro ha akatchayi si Juan. Pedro teased Juan. Manma'akatchayi i familia. The family was harassed. Guaha umakatchayi i lanchok‑ku. Someone robbed my farm. Ai, sa' guaha umakatchayi yu' gi ramentåk‑ku. Gosh, someone cheated me with my tools.",akatchayi
inaketyu',aketyu',IN Infix,Transitive Verb,vt.  coil (someone's) hair on head. Para u aketyu' yu' si nanå‑hu. My mother is going to coil my hair on my head. Bunitu i inaketyon‑ña si nanå‑hu nu guåhu. My mother made a beautiful coil of hair on my head.,aketyu'
inakihum,akihum,IN Infix,Transitive Verb,"vt.  clench, grip tightly with hand, hold or grasp firmly; hold within oneself. Reversal: clench, grip, hold within self. Håfa na un akikihum kannai‑mu? Why are you clenching your fist? Bai hu nå'i håo nu esti, ya akihum, adahi na un baba, asta ki måttu håo gi gima'. I'm going to give you this, grip it tightly with your hand, don't open it until you come home. Ma'e'etdut kannai‑hu, ya ti siña yu' manakihum. My hand becomes numb, so I can't grasp anything. Mungnga ma'akihum i håfa para un sångan. Don't hold within you what you have to say.",akihum
inakka',åkka',IN Infix,Transitive Verb,vt.  bite. Reversal: bite. Ha åkka' yu' i kaimån. The crocodile bit me. Inakka' addeng‑ña si John ni atting. John was bitten on the leg by a large black ant. Puti inakka' sasata. It's painful to be stung by a wasp.,åkka'
inaksepta,aksepta,IN Infix,Transitive Verb,"vt.  accept, receive; agree, comply; be content with. Reversal: accept. In aksepta todu nina'in tåotao. We accept all gifts from the people. Manggågao si Lucio dispensasion ya inaksepta ha' as Jose. Lucio asked for forgiveness and Jose accepted it. Si Simon ha aksepta i manmatugi' siha na kondision put makumpattin fingkas familia. Simon accepted the written conditions regarding the division of family assets.",aksepta
inakudi,akudi,IN Infix,Transitive Verb,"vt.  assist, help, aid. Reversal: help, assist. Listu manmanakudi i pulusiha. Policemen are quick to assist. Manggågagao ayudu ya tåya' umakukudi. He's asking for help and no one is assisting. Akudi i patgun sa' gaigi gi fihun i chalan. Help the child because he's by the road.",akudi
inakumpåña,akumpåña,IN Infix,Transitive Verb,"vt.  accompany, escort. Reversal: accompany. Para u inakumpåña i nobia hålum as tatå‑ña. The bride is going to be accompanied by her father. Kåo siña un akumpåña yu' para i tasi? Could you accompany me to the beach?",akumpåña
inakumpåra,akumpåra,IN Infix,Transitive Verb,"vt.  compare, make a comparison, contrast. Reversal: compare. Akumpåra ha' i dos, sa' ti parehu. Just compare the two, because they're not the same. Mungnga ma'akumpåra si Juan yan si Jose. Don't compare Juan and Jose. Si Maria ha akumpåra i dos mañågun månnuk. Maria compared the two mother hens. Variant: kumpåra.",akumpåra
inakunseha,akunseha,IN Infix,Transitive Verb,"vt.  advise, counsel, console. Reversal: advise, counsel, console. Bai hu akunseha håo sa' un nisisita. I will give you some advice, because you need it. Kininseha si Juan as tatå‑ña na mungnga malågu, sa' u matomba. Juan was advised by his father not to run, because he might fall. Hu akunseha si Jose, sa' kumåkati. I consoled Jose, because he was crying. Variant: kunseha.",akunseha
inakusa,akusa,IN Infix,Transitive Verb,vt.  accuse. Reversal: accuse. Mungnga yu' ma'akusa sa' tåya' bidåda‑hu båba. Don't accuse me because I am not doing anything bad. Hu akusa si Antonio na guaha nobiå‑ña. I accused Antonio of having a girlfriend. Ti ya‑hu manakusa tåotao. I don't like accusing people.,akusa
inakustumbra,akustumbra,IN Infix,Transitive Verb,"vt.  accustom (oneself), make (oneself) familiar by use. Reversal: accustom self. Mungnga ma'akustumbra hamyu na para en fanmasesetbi kafe kada ogga'an. Don't accustom yourselves to being served coffee every morning. Kalan ha akustutumbra gui' si Ne' para u å'assun gi amåka kada talu'åni. Manuel is getting used to lying in the hammock in the afternoon. I bisita ti ha akustutumbra gui' gi kutturan i tanu'. The visitor hasn't accustomed himself to the local culture.",akustumbra
inalådu,alådu,IN Infix,Transitive Verb,vt.  plow. Para uma alådu i lanchu. They're going to do some plowing at the farm.,alådu
inalaguåni,alaguåni,IN Infix,Transitive Verb,vt.  make alåguan for. Alaguåni i neni. Make alaguan for the baby.,alaguåni
inalatgåyi,alatgåyi,IN Infix,Transitive Verb,"vt.  load (something) generously, heap up (something) generously. Reversal: load up, fill, heap up. Ha alatgåyi i pikap ni hayun foggun. She loaded up the pickup with firewood. Humånao si Juan para u fanayuda manalatgåyi chandiha i pikap, sa' meppa'. Juan went to help load the pickup with watermelons, because there were lots of them. E'kat umalatgåyi i keståt‑mu, sa' siña ha' ti un langak. Slow down from filling up your burlap sack, because you might not be able to carry it.",alatgåyi
inalibia,alibia,IN Infix,Transitive Verb,"vt.  ease, relieve, alleviate, facilitate. Reversal: relieve. I pilan ha alibia i piniti‑hu. The moon eased my sorrow. Fatå'chung gi fion‑ña ya un alibia i katiti‑ña i patgun. Sit next to the child and ease her crying.",alibia
inaligao,aligao,IN Infix,Transitive Verb,"vt.  search for, seek, try to find. Reversal: look for, search for. Yanggin un aligao, siempri un sodda'. If you look for it, you will find it. Aligåyi yu' fan mångga ni gada'. Would you please find a young mango for me? Håfa un aliligao? What are you looking for?",aligao
inaliña,aliña,IN Infix,Transitive Verb,"vt.  take care of, take pride in. Reversal: take care of. Si Jose ha na'takkilu' i aliña giya guiya. Jose takes pride in himself. Bai hu aliña i neni gi gima'. I will take care of the baby at the house.",aliña
inalli,alli,IN Infix,Transitive Verb,vt.  urge (a cow or other animal) to go faster. Mungnga mampus mahalli i guaka. Don't rush the cow to move too much. Variant: halli.,alli
inaluf,aluf,IN Infix,Transitive Verb,"vt.  wave at, beckon, signal to. Reversal: wave at. Ha aluf yu' gi chalan. He waved at me on the road. Åntis i Chamorro, todu tiempu mana'aluf kumu manasudda' yan ottru gi hinanåo‑ñiñiha. In the past, Chamorros always waved to each other when they were passing on their way. På'gu Luta ha' mana'aluf i taotåo gi chalan, yan ennåo na mafa'na'an Islan Aluf. Now it's only on Rota that people wave to each other on the road, and that's why it's known as the Island of Aluf.",aluf
inaluk,åluk,IN Infix,Transitive Verb,"vt.  say like this, say this way. Reversal: say. Åluk måolik para todu i chalik. Say that laughter is good for everyone. Ma'åluk na måolik tåotao ennåo. It is said that that person is pretty good. Bålli i basula gi me'nan guma', sa' håfa u ma'åluk ni taotao. Rake the trash in front of the house, because what would the people say. Variant: aluk.",åluk
inalulåyi,alulåyi,IN Infix,Transitive Verb,"vt.  expedite, hurry, hasten. Reversal: hurry. Alulåyi ya ta fanhånao manpiknik. Hurry up so that we can go picnicking. Jose, alulåyi i chi'cho'‑mu. Jose, hurry up with your work. Jose, i chi'cho'‑mu un alulåyi. Jose, it's your work that you're going to hurry up with.",alula
inamåska,amåska,IN Infix,Transitive Verb,vt.  chew (tobacco). Reversal: chew (tobacco). Ta amåska esti. Let's use this as our chewing tobacco. Ti ya‑ña umamåska i anglu' na chupa. She doesn't like using the dry tobacco as her chewing tobacco.,amåska
inamenda,amenda,IN Infix,Transitive Verb,vt.  amend. Reversal: amend. Maila' ya ta amenda i iyot‑ta bylaws. Let's amend our bylaws. Kåo tåya' esta para ta amenda guini na hunta? Are there no more amendments to be carried out in this meeting? Variant: enmienda.,amenda
inamin,åmin,IN Infix,Transitive Verb,vt.  kiss the hand of (as a sign of respect). Reversal: kiss hand of. Åmin si nåna. Kiss mom's hand. Åmin yu'. Kiss my hand. Bai hu åmin si Påli'. I will kiss the hand of the priest. Variant: åmen.,åmin
inammi',ammi',IN Infix,Transitive Verb,"vt.  chew betel nut for someone, usually a toothless person.",ammi'
inampåra,ampåra,IN Infix,Transitive Verb,"vt.  protect (esp. our souls). Reversal: protect. Ni håfa u guaha, i nana siempri u ampåra i patgon‑ña. No matter what, a mother will surely protect her child. Bai hu ampåra håo. I will protect you. Ampåra i anti‑ña. Protect and save her soul.",ampåra
inamti,åmti,IN Infix,Transitive Verb,"vt.  apply first aid to, treat (someone's) wound, cure (someone's) sickness. Reversal: treat (sickness), cure (someone). I doktu ha åmti i chetnot‑tu. The doctor treated my wound. Ma åmti i malinik ilu‑ña. They treated her headache. I siruhåna manå'amti ya ha usa i tinanum siha. The native medicine healer cures sickness using plants.",åmti
